일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 08월 22일 12시,0,24.4,151.6,1002,18,65,130,-,소형,북북동,38,null
2022년 08월 22일 12시,12,26.5,150.7,1000,18,65,150,-,소형,북북서,21,60
2022년 08월 22일 12시,24,29.2,149.9,1000,18,65,160,-,소형,북북서,25,110
2022년 08월 22일 12시,36,31.7,149,1000,18,65,160,-,소형,북북서,24,140
2022년 08월 22일 12시,48,34.2,149,998,19,68,180,-,소형,북,23,170
2022년 08월 22일 12시,72,39.6,152.8,998,19,68,180,-,소형,북북동,29,230
2022년 08월 22일 12시,96,46,161.8,1000,18,65,0,-,-,북동,42,280
2022년 08월 22일 15시,0,25,151.6,1002,18,65,130,-,소형,북,23,null
2022년 08월 22일 15시,12,27.3,150.6,1000,18,65,150,-,소형,북북서,23,60
2022년 08월 22일 15시,24,30.2,149.4,1000,18,65,160,-,소형,북북서,29,110
2022년 08월 22일 15시,36,32.9,148.2,998,19,68,170,-,소형,북북서,27,140
2022년 08월 22일 15시,48,35.5,148.7,998,19,68,180,-,소형,북,24,170
2022년 08월 22일 15시,72,40.4,152.5,998,19,68,180,-,소형,북북동,27,230
2022년 08월 22일 15시,96,46.5,162.2,1000,18,65,0,-,-,북동,43,280
2022년 08월 22일 21시,0,26.2,151.5,998,19,68,150,-,소형,북,22,null
2022년 08월 22일 21시,12,29.6,149.2,998,19,68,160,-,소형,북북서,36,60
2022년 08월 22일 21시,24,32.5,148.2,996,20,72,180,-,소형,북북서,19,110
2022년 08월 22일 21시,36,35,148.4,996,20,72,180,-,소형,북,23,140
2022년 08월 22일 21시,48,37.5,149.7,998,19,68,170,-,소형,북북동,25,170
2022년 08월 22일 21시,72,42.9,155.1,1000,17,61,0,-,-,북동,32,230
2022년 08월 23일 03시,0,27.4,151,994,21,76,150,-,소형,북북서,33,null
2022년 08월 23일 03시,12,30.4,149.1,992,23,83,170,-,소형,북북서,32,60
2022년 08월 23일 03시,24,32.9,148.5,990,24,86,180,-,소형,북북서,23,110
2022년 08월 23일 03시,36,35.2,148.8,990,24,86,180,-,소형,북,22,140
2022년 08월 23일 03시,48,37.4,149.9,992,23,83,170,-,소형,북북동,22,170
