일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 08월 28일 21시,0,26.9,148.5,998,19,68,220,-,소형,북북서,32,null
2022년 08월 28일 21시,12,27.5,145.6,994,21,76,220,-,소형,서북서,25,60
2022년 08월 28일 21시,24,28.5,142.2,990,24,86,230,-,소형,서북서,29,110
2022년 08월 28일 21시,36,29.1,139.3,990,24,86,230,-,소형,서북서,24,140
2022년 08월 28일 21시,48,29.9,135.8,990,24,86,230,-,소형,서북서,29,170
2022년 08월 28일 21시,72,30.1,131.8,990,24,86,230,-,소형,서,16,230
2022년 08월 28일 21시,96,29.9,129.3,990,24,86,230,-,소형,서,10,280
2022년 08월 28일 21시,120,29.4,127.3,990,24,86,230,-,소형,서남서,8,380
2022년 08월 29일 03시,0,27.2,147,994,21,76,220,-,소형,서북서,27,null
2022년 08월 29일 03시,12,28,143.9,992,23,83,230,-,소형,서북서,29,60
2022년 08월 29일 03시,24,28.5,141.3,990,24,86,230,-,소형,서북서,21,110
2022년 08월 29일 03시,36,28.9,138.4,990,24,86,230,-,소형,서,24,140
2022년 08월 29일 03시,48,29.1,135,990,24,86,230,-,소형,서,27,170
2022년 08월 29일 03시,72,28.9,131.7,985,27,97,240,중,소형,서,14,230
2022년 08월 29일 03시,96,28.3,129.2,980,29,104,250,중,소형,서남서,10,280
2022년 08월 29일 03시,120,27.7,127.2,975,32,115,260,중,소형,서남서,9,380
2022년 08월 29일 09시,0,27.3,145.2,985,27,97,230,중,소형,서,33,null
2022년 08월 29일 09시,12,27.8,142.6,980,29,104,280,중,소형,서북서,22,60
2022년 08월 29일 09시,24,28.1,139.8,975,32,115,300,중,중형,서,23,110
2022년 08월 29일 09시,36,28.2,136.9,975,32,115,300,중,중형,서,24,140
2022년 08월 29일 09시,48,28.1,134.1,970,35,126,330,강,중형,서,23,170
2022년 08월 29일 09시,72,27.7,131.3,970,35,126,330,강,중형,서,11,230
2022년 08월 29일 09시,96,27.4,129,960,39,140,350,강,중형,서,10,280
2022년 08월 29일 09시,120,26.7,127,960,39,140,350,강,중형,서남서,9,380
2022년 08월 29일 15시,0,27.4,143.3,980,29,104,260,중,소형,서,37,null
2022년 08월 29일 15시,12,27.5,139.5,975,32,115,290,중,소형,서,31,60
2022년 08월 29일 15시,24,27.4,136,970,35,126,300,강,중형,서,29,110
2022년 08월 29일 15시,36,27.1,133.3,965,37,133,320,강,중형,서,23,140
2022년 08월 29일 15시,48,26.6,130.9,960,39,140,330,강,중형,서남서,20,200
2022년 08월 29일 15시,72,25.3,128.7,950,43,155,340,강,중형,서남서,11,300
2022년 08월 29일 15시,96,24.7,128.1,945,45,162,350,매우 강,중형,남서,4,350
2022년 08월 29일 15시,120,24.5,127.5,940,47,169,350,매우 강,중형,서남서,3,450
2022년 08월 29일 21시,0,27.3,141.2,965,37,133,280,강,소형,서,38,null
2022년 08월 29일 21시,12,27.2,137.2,960,39,140,300,강,중형,서,33,60
2022년 08월 29일 21시,24,26.6,133.9,950,43,155,310,강,중형,서,28,110
2022년 08월 29일 21시,36,25.6,131.3,945,45,162,330,매우 강,중형,서남서,24,140
2022년 08월 29일 21시,48,24.5,128.8,940,47,169,330,매우 강,중형,서남서,23,200
2022년 08월 29일 21시,72,23.7,127.9,930,50,180,340,매우 강,중형,남서,5,280
2022년 08월 29일 21시,96,24,126.9,925,51,184,350,매우 강,중형,서북서,4,350
2022년 08월 29일 21시,120,24.9,126.5,930,50,180,350,매우 강,중형,북북서,5,450
2022년 08월 30일 03시,0,27.1,139.3,965,37,133,300,강,중형,서,39,null
2022년 08월 30일 03시,12,26.8,135.5,960,39,140,310,강,중형,서,32,60
2022년 08월 30일 03시,24,26,132.4,950,43,155,320,강,중형,서남서,27,110
2022년 08월 30일 03시,36,25,129.9,945,45,162,330,매우 강,중형,서남서,23,140
2022년 08월 30일 03시,48,24,128.2,940,47,169,340,매우 강,중형,서남서,17,200
2022년 08월 30일 03시,72,23.4,127.3,930,50,180,350,매우 강,중형,남서,5,280
2022년 08월 30일 03시,96,24,126.8,930,50,180,350,매우 강,중형,북서,4,350
2022년 08월 30일 03시,120,25.5,126.5,930,50,180,350,매우 강,중형,북,7,450
2022년 08월 30일 09시,0,26.8,137.3,945,45,162,300,매우 강,중형,서,32,null
2022년 08월 30일 09시,12,26.2,133.8,940,47,169,310,매우 강,중형,서,29,60
2022년 08월 30일 09시,24,25.3,131.1,935,49,176,320,매우 강,중형,서남서,25,110
2022년 08월 30일 09시,36,24.5,129,930,50,180,380,매우 강,중형,서남서,19,140
2022년 08월 30일 09시,48,23.8,127.5,925,51,184,400,매우 강,중형,서남서,14,200
2022년 08월 30일 09시,72,22.9,126.6,925,51,184,450,매우 강,중형,남서,6,280
2022년 08월 30일 09시,96,24.2,126.2,930,50,180,400,매우 강,중형,북북서,6,350
2022년 08월 30일 09시,120,26,126.2,935,49,176,400,매우 강,중형,북,8,450
2022년 08월 30일 15시,0,26.8,135.4,925,51,184,300,매우 강,중형,서,33,null
2022년 08월 30일 15시,12,26.2,132.4,915,55,198,320,초강력,중형,서남서,26,60
2022년 08월 30일 15시,24,25.3,129.7,915,55,198,350,초강력,중형,서남서,24,110
2022년 08월 30일 15시,36,24.3,127.7,910,56,202,400,초강력,중형,서남서,19,140
2022년 08월 30일 15시,48,23.6,126.8,910,56,202,450,초강력,중형,남서,10,200
2022년 08월 30일 15시,72,23.1,126.5,920,53,191,450,매우 강,중형,남남서,3,280
2022년 08월 30일 15시,96,24.6,126,930,50,180,430,매우 강,중형,북북서,7,350
2022년 08월 30일 15시,120,26.8,126.2,935,49,176,430,매우 강,중형,북,10,450
