일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 04월 10일 09시,0,10.9,125.9,998,19,68,220,-,소형,서북서,13,null
2022년 04월 10일 09시,12,11.1,125.8,998,19,68,220,-,소형,북북서,2,60
2022년 04월 10일 09시,24,11.2,125.8,998,19,68,220,-,소형,북,1,110
2022년 04월 10일 09시,36,11.4,126.1,998,19,68,220,-,소형,동북동,3,140
2022년 04월 10일 09시,48,11.4,126.3,998,19,68,220,-,소형,동,2,170
2022년 04월 10일 09시,72,11.3,127.7,1002,15,54,0,-,-,동,6,0
2022년 04월 10일 15시,0,10.9,125.4,998,19,68,220,-,소형,북서,5,null
2022년 04월 10일 15시,12,11.1,125.3,998,19,68,220,-,소형,북북서,2,60
2022년 04월 10일 15시,24,11.3,125.5,998,19,68,220,-,소형,북동,2,110
2022년 04월 10일 15시,36,11.3,125.7,998,19,68,220,-,소형,동북동,2,140
2022년 04월 10일 15시,48,11.2,126.4,998,19,68,220,-,소형,동,6,170
2022년 04월 10일 15시,72,11,128.5,1004,14,50,0,-,-,동,10,0
2022년 04월 10일 21시,0,11,125.2,998,19,68,220,-,소형,북서,5,null
2022년 04월 10일 21시,12,11.2,125,998,19,68,220,-,소형,북서,2,60
2022년 04월 10일 21시,24,11.2,125.2,998,19,68,220,-,소형,동북동,2,110
2022년 04월 10일 21시,36,11.2,125.5,998,19,68,220,-,소형,동남동,3,140
2022년 04월 10일 21시,48,11.1,126.2,998,19,68,220,-,소형,동,6,170
2022년 04월 10일 21시,60,11,127.7,1002,15,54,0,-,-,동,14,0
2022년 04월 11일 03시,0,11,125,998,19,68,220,-,소형,서,4,null
2022년 04월 11일 03시,12,11.3,124.8,998,19,68,220,-,소형,북북서,3,60
2022년 04월 11일 03시,24,11.3,125.2,998,19,68,220,-,소형,동,3,110
2022년 04월 11일 03시,36,11.1,125.8,998,19,68,220,-,소형,동남동,6,140
2022년 04월 11일 03시,48,11.1,126.5,1002,15,54,0,-,-,동,6,0
2022년 04월 11일 09시,0,11,124.8,998,19,68,220,-,소형,서,3,null
2022년 04월 11일 09시,12,11.3,125,998,19,68,220,-,소형,북북동,3,60
2022년 04월 11일 09시,24,11.2,125.5,998,19,68,220,-,소형,동남동,5,110
2022년 04월 11일 09시,36,11.1,126.2,1000,18,65,200,-,소형,동,7,140
2022년 04월 11일 09시,48,11.1,126.7,1002,15,54,0,-,-,동,5,0
2022년 04월 11일 15시,0,11,124.5,1000,18,65,200,-,소형,서,3,null
2022년 04월 11일 15시,12,11.3,125.2,1000,18,65,220,-,소형,동북동,7,60
2022년 04월 11일 15시,24,11.2,125.8,1000,18,65,210,-,소형,동남동,6,110
2022년 04월 11일 15시,36,11.1,126.5,1002,14,50,0,-,-,동,6,0
2022년 04월 11일 21시,0,11.3,124.6,1000,18,65,200,-,소형,북,4,null
2022년 04월 11일 21시,12,11.3,125.5,1000,18,65,220,-,소형,동,8,60
2022년 04월 11일 21시,24,11.1,126.2,1002,14,50,0,-,-,동,6,0
2022년 04월 12일 03시,0,11.1,125,1000,18,65,200,-,소형,동남동,8,null
2022년 04월 12일 03시,12,11,125.8,1000,17,61,200,-,소형,동,8,60
2022년 04월 12일 03시,24,10.7,126.5,1002,14,50,0,-,-,동남동,7,0
2022년 04월 12일 09시,0,11.1,125.8,1002,15,54,0,-,-,동북동,11,null
