일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 06월 30일 09시,0,15.8,115.2,996,19,68,200,-,소형,남동,20,null
2022년 06월 30일 09시,12,17.6,114.6,994,21,76,220,-,소형,북북서,17,60
2022년 06월 30일 09시,24,18.8,113.6,992,23,83,230,-,소형,북서,14,110
2022년 06월 30일 09시,36,19.6,112.5,990,24,86,240,-,소형,북서,13,140
2022년 06월 30일 09시,48,20.4,111.2,990,24,86,250,-,소형,서북서,13,170
2022년 06월 30일 09시,72,21.6,109.9,992,23,83,260,-,소형,북서,8,230
2022년 06월 30일 09시,96,23,109.4,996,15,54,0,-,-,북북서,7,0
2022년 06월 30일 15시,0,16.1,115.2,992,23,83,220,-,소형,북,6,null
2022년 06월 30일 15시,12,18.3,113.9,990,24,86,230,-,소형,북북서,23,60
2022년 06월 30일 15시,24,19.7,112.1,985,27,97,250,중,소형,북서,20,110
2022년 06월 30일 15시,36,20,111.2,985,27,97,250,중,소형,서북서,8,140
2022년 06월 30일 15시,48,21,110.4,985,27,97,250,중,소형,북북서,7,170
2022년 06월 30일 15시,72,21.9,109.7,992,20,72,220,-,소형,북서,8,230
2022년 06월 30일 15시,96,22.9,109.8,996,15,54,0,-,-,북,4,0
2022년 06월 30일 21시,0,16.9,115.1,990,24,86,230,-,소형,북,18,null
2022년 06월 30일 21시,12,18.4,114,985,27,97,240,중,소형,북서,17,60
2022년 06월 30일 21시,24,19.6,112.6,985,27,97,250,중,소형,북서,17,110
2022년 06월 30일 21시,36,20.5,110.9,985,27,97,250,중,소형,서북서,17,140
2022년 06월 30일 21시,48,21.3,110.3,985,27,97,240,중,소형,북서,9,170
2022년 06월 30일 21시,72,22.2,109.8,992,23,83,220,-,소형,북북서,5,230
2022년 06월 30일 21시,96,23.5,109.8,1000,15,54,0,-,-,북,6,0
2022년 07월 01일 03시,0,17.4,114.4,985,27,97,240,중,소형,북서,18,null
2022년 07월 01일 03시,12,19,113.3,985,27,97,250,중,소형,북북서,18,60
2022년 07월 01일 03시,24,20,112,980,29,104,280,중,소형,북서,15,110
2022년 07월 01일 03시,36,21,111,985,27,97,250,중,소형,북서,13,140
2022년 07월 01일 03시,48,21.5,109.8,990,24,86,240,-,소형,서북서,11,170
2022년 07월 01일 03시,72,23.5,108.8,994,21,76,220,-,소형,북북서,10,230
2022년 07월 01일 03시,96,24.3,108.7,996,15,54,0,-,-,북,4,0
2022년 07월 01일 09시,0,18.5,114.1,985,27,97,240,중,소형,북북서,26,null
2022년 07월 01일 09시,12,19.5,112.5,980,29,104,270,중,소형,북서,17,60
