일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 07월 01일 09시,0,20.2,130.8,1002,18,65,230,-,소형,북북동,13,null
2022년 07월 01일 09시,12,22,130.6,1000,18,65,250,-,소형,북,17,60
2022년 07월 01일 09시,24,24.2,129.7,998,19,68,260,-,소형,북북서,22,110
2022년 07월 01일 09시,36,26.8,128.2,994,21,76,270,-,소형,북북서,28,140
2022년 07월 01일 09시,48,28.7,126.9,990,24,86,290,-,소형,북북서,20,170
2022년 07월 01일 09시,72,31,125.6,992,23,83,280,-,소형,북북서,12,230
2022년 07월 01일 09시,96,33.8,127.9,998,19,68,250,-,소형,북동,16,280
2022년 07월 01일 09시,120,36.6,131.6,1002,15,54,0,-,-,북동,19,0
2022년 07월 01일 15시,0,21,131.1,1002,18,65,230,-,소형,북,11,null
2022년 07월 01일 15시,12,23,130.6,998,19,68,260,-,소형,북북서,19,60
2022년 07월 01일 15시,24,25.3,129.4,996,20,72,270,-,소형,북북서,23,110
2022년 07월 01일 15시,36,27.6,127.6,992,23,83,280,-,소형,북서,27,140
2022년 07월 01일 15시,48,29.2,126.5,990,24,86,290,-,소형,북북서,17,170
2022년 07월 01일 15시,72,31.7,125.9,992,23,83,270,-,소형,북북서,11,230
2022년 07월 01일 15시,96,34.5,128.8,998,19,68,250,-,소형,북동,17,280
2022년 07월 01일 15시,120,37.1,132.2,1002,15,54,0,-,-,북동,17,0
2022년 07월 01일 21시,0,22,131.2,998,19,68,250,-,소형,북,18,null
2022년 07월 01일 21시,12,24.2,130.2,996,20,72,270,-,소형,북북서,22,60
2022년 07월 01일 21시,24,26.4,128.4,994,21,76,280,-,소형,북서,25,110
2022년 07월 01일 21시,36,28,127.2,990,24,86,290,-,소형,북북서,18,140
2022년 07월 01일 21시,48,29.2,126.5,990,24,86,290,-,소형,북북서,12,170
2022년 07월 01일 21시,72,31.7,127,992,23,83,270,-,소형,북,12,230
2022년 07월 01일 21시,96,34.5,129.8,998,19,68,250,-,소형,북동,17,280
2022년 07월 01일 21시,120,36.2,134,1002,15,54,0,-,-,동북동,18,0
2022년 07월 02일 03시,0,23.1,130.8,998,19,68,250,-,소형,북북서,19,null
2022년 07월 02일 03시,12,25.3,129.3,994,21,76,270,-,소형,북북서,24,60
2022년 07월 02일 03시,24,27.3,127.7,992,23,83,280,-,소형,북서,22,110
2022년 07월 02일 03시,36,28.5,126.7,990,24,86,290,-,소형,북서,14,140
2022년 07월 02일 03시,48,29.7,126.4,990,24,86,290,-,소형,북북서,11,170
2022년 07월 02일 03시,72,32.2,127.1,992,23,83,270,-,소형,북북동,12,230
2022년 07월 02일 03시,96,35.1,130.8,998,19,68,250,-,소형,북동,20,280
2022년 07월 02일 03시,120,36.4,135.5,1002,15,54,0,-,-,동북동,19,0
2022년 07월 02일 09시,0,24.6,130.4,998,19,68,250,-,소형,북,29,null
2022년 07월 02일 09시,12,26.4,128.5,992,23,83,280,-,소형,북서,23,60
2022년 07월 02일 09시,24,28,127.2,990,24,86,290,-,소형,북서,18,110
2022년 07월 02일 09시,36,29.1,126.5,990,24,86,290,-,소형,북북서,12,140
2022년 07월 02일 09시,48,30.3,126.4,990,24,86,290,-,소형,북,11,170
2022년 07월 02일 09시,72,32.9,127.8,992,23,83,270,-,소형,북북동,14,230
2022년 07월 02일 09시,96,35.6,132,998,19,68,250,-,소형,북동,20,280
2022년 07월 02일 09시,120,36.6,137.2,1002,15,54,0,-,-,동북동,20,0
2022년 07월 02일 15시,0,25.7,129.6,998,19,68,250,-,소형,북서,22,null
2022년 07월 02일 15시,12,27.7,127.8,994,21,76,260,-,소형,북서,24,60
2022년 07월 02일 15시,24,29,126.7,992,23,83,270,-,소형,북서,15,110
2022년 07월 02일 15시,36,30.1,126.3,990,24,86,280,-,소형,북북서,11,140
2022년 07월 02일 15시,48,31.5,126.6,992,23,83,250,-,소형,북,13,170
2022년 07월 02일 15시,72,33.7,128.6,996,20,72,200,-,소형,북동,13,230
2022년 07월 02일 15시,96,36,134.4,1002,15,54,0,-,-,동북동,25,0
2022년 07월 02일 21시,0,26.6,127.8,994,20,72,250,-,소형,서북서,35,null
2022년 07월 02일 21시,12,28.3,126.5,992,20,72,250,-,소형,북서,19,60
2022년 07월 02일 21시,24,29.6,126.1,992,20,72,250,-,소형,북북서,12,110
2022년 07월 02일 21시,36,30.7,126.3,992,20,72,250,-,소형,북,11,140
2022년 07월 02일 21시,48,32.1,127.2,994,19,68,230,-,소형,북북동,14,170
2022년 07월 02일 21시,72,33.7,130.3,996,18,65,200,-,소형,북동,14,230
2022년 07월 02일 21시,96,35.6,136,1000,15,54,0,-,-,동북동,23,0
2022년 07월 03일 03시,0,27.4,127.5,994,19,68,250,-,소형,북,22,null
2022년 07월 03일 03시,12,29,126.2,994,19,68,250,-,소형,북서,18,60
2022년 07월 03일 03시,24,30.1,126.1,994,19,68,250,-,소형,북,11,110
2022년 07월 03일 03시,36,31.3,126.8,996,18,65,240,-,소형,북북동,12,140
2022년 07월 03일 03시,48,32.4,128.1,998,18,65,220,-,소형,북동,14,170
2022년 07월 03일 03시,72,34.2,131.8,1000,15,54,0,-,-,동북동,16,0
2022년 07월 03일 09시,0,27.8,127.2,994,19,68,250,-,소형,북,7,null
2022년 07월 03일 09시,12,29.4,126.5,994,19,68,250,-,소형,북북서,16,60
2022년 07월 03일 09시,24,30.6,126.7,996,18,65,250,-,소형,북,12,110
2022년 07월 03일 09시,36,31.5,127.3,998,18,65,230,-,소형,북북동,9,140
2022년 07월 03일 09시,48,32.6,129.1,998,18,65,200,-,소형,북동,17,170
2022년 07월 03일 09시,72,34.1,132.8,1002,15,54,0,-,-,동북동,16,0
2022년 07월 03일 15시,0,28.1,126.8,994,19,68,250,-,소형,북서,9,null
2022년 07월 03일 15시,12,29.3,126.6,994,19,68,250,-,소형,북,11,60
2022년 07월 03일 15시,24,30.7,127,996,18,65,240,-,소형,북북동,14,110
2022년 07월 03일 15시,36,32,128,998,18,65,230,-,소형,북북동,14,140
2022년 07월 03일 15시,48,32.9,129.7,998,18,65,220,-,소형,동북동,15,170
2022년 07월 03일 15시,72,34.3,133.4,1002,15,54,0,-,-,동북동,16,0
2022년 07월 03일 21시,0,28.5,126.5,996,18,65,220,-,소형,북서,4,null
2022년 07월 03일 21시,12,29.9,126.7,996,18,65,220,-,소형,북,13,60
2022년 07월 03일 21시,24,31.5,127.5,998,18,65,200,-,소형,북북동,16,110
2022년 07월 03일 21시,36,32.8,129.4,998,18,65,200,-,소형,북동,19,140
2022년 07월 03일 21시,48,33.8,132,998,18,65,190,-,소형,동북동,22,170
2022년 07월 03일 21시,72,34.8,137.5,1002,15,54,0,-,-,동북동,22,0
2022년 07월 04일 03시,0,29.3,126.8,996,18,65,220,-,소형,북북동,22,null
2022년 07월 04일 03시,12,30.7,127.6,996,18,65,220,-,소형,북북동,15,60
2022년 07월 04일 03시,24,32.5,129,998,18,65,210,-,소형,북동,19,110
2022년 07월 04일 03시,36,33.5,131.4,1000,17,61,200,-,소형,동북동,21,140
2022년 07월 04일 03시,48,34.2,135.3,1002,15,54,0,-,-,동북동,31,0
2022년 07월 04일 09시,0,30.1,127.5,996,18,65,150,-,소형,북동,19,null
2022년 07월 04일 09시,12,31.6,128.6,996,18,65,140,-,소형,북북동,16,60
2022년 07월 04일 09시,24,33.1,129.9,998,18,65,130,-,소형,북동,17,110
2022년 07월 04일 09시,36,33.9,133.6,1002,15,54,0,-,-,동북동,30,0
2022년 07월 04일 15시,0,30.9,127.9,998,18,65,130,-,소형,북북동,12,null
2022년 07월 04일 15시,6,31.7,128.4,998,18,65,120,-,소형,북북동,16,30
2022년 07월 04일 15시,12,32.5,129.1,998,18,65,110,-,소형,북동,19,60
2022년 07월 04일 15시,18,33.3,130.3,998,18,65,80,-,소형,북동,24,80
2022년 07월 04일 15시,24,33.6,131.8,1000,15,54,0,-,-,동북동,24,0
2022년 07월 04일 21시,0,31.7,128.5,998,18,65,120,-,소형,북북동,20,null
2022년 07월 04일 21시,6,32.6,129.1,998,18,65,100,-,소형,북북동,22,30
2022년 07월 04일 21시,12,33.3,130.1,1000,15,54,0,-,-,북동,20,0
2022년 07월 05일 03시,0,32.8,129.3,1000,15,54,0,-,-,북북동,20,null
