일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 07월 28일 21시,0,22.5,138.9,1002,18,65,190,-,소형,북북서,19,null
2022년 07월 28일 21시,12,25.5,135.4,996,20,72,200,-,소형,북서,41,60
2022년 07월 28일 21시,24,28.3,131.8,994,21,76,210,-,소형,북서,39,110
2022년 07월 28일 21시,36,30.3,127.8,994,21,76,210,-,소형,서북서,37,140
2022년 07월 28일 21시,48,31.4,125.2,994,21,76,210,-,소형,서북서,23,170
2022년 07월 28일 21시,72,32.9,122.3,998,19,68,200,-,소형,서북서,13,230
2022년 07월 28일 21시,96,34.8,121.6,1002,15,54,0,-,-,북북서,10,0
2022년 07월 29일 03시,0,25.1,137.7,1000,18,65,200,-,소형,북북서,46,null
2022년 07월 29일 03시,12,27,133.6,996,20,72,210,-,소형,서북서,38,60
2022년 07월 29일 03시,24,29.4,129.8,994,21,76,210,-,소형,북서,39,110
2022년 07월 29일 03시,36,30.8,126.5,994,21,76,210,-,소형,서북서,30,140
2022년 07월 29일 03시,48,31.7,124.1,998,19,68,200,-,소형,서북서,20,170
2022년 07월 29일 03시,72,33.4,122,1002,15,54,0,-,-,북서,11,0
2022년 07월 29일 09시,0,27.6,135.3,1000,18,65,200,-,소형,북서,61,null
2022년 07월 29일 09시,12,29.4,130.2,998,19,68,200,-,소형,서북서,45,60
2022년 07월 29일 09시,24,30.7,127,996,20,72,210,-,소형,서북서,28,110
2022년 07월 29일 09시,36,31.5,124.5,998,19,68,200,-,소형,서북서,21,140
2022년 07월 29일 09시,48,32.4,123.2,1000,17,61,190,-,소형,북서,14,170
2022년 07월 29일 09시,72,34.6,122.2,1002,15,54,0,-,-,북북서,11,0
2022년 07월 29일 15시,0,28.9,132,1000,18,65,200,-,소형,서북서,51,null
2022년 07월 29일 15시,12,30.4,127.8,998,19,68,210,-,소형,서북서,37,60
2022년 07월 29일 15시,24,31.4,125.1,998,19,68,210,-,소형,서북서,23,110
2022년 07월 29일 15시,36,32.1,123.5,1000,17,61,200,-,소형,서북서,11,140
2022년 07월 29일 15시,48,33,122.7,1002,15,54,0,-,-,북서,11,0
2022년 07월 29일 21시,0,29.7,130.1,1000,18,65,200,-,소형,서북서,31,null
2022년 07월 29일 21시,12,31,126.5,1000,18,65,200,-,소형,서북서,31,60
2022년 07월 29일 21시,24,31.8,124.2,1000,18,65,200,-,소형,서북서,19,110
2022년 07월 29일 21시,36,33.3,123.2,1000,18,65,200,-,소형,북북서,16,140
2022년 07월 29일 21시,48,34.8,122.7,1002,15,54,0,-,-,북북서,14,0
2022년 07월 30일 03시,0,30.5,128.2,1000,18,65,200,-,소형,서북서,38,null
2022년 07월 30일 03시,12,31.4,125.2,1000,18,65,200,-,소형,서북서,25,60
2022년 07월 30일 03시,24,32.4,123.7,1000,18,65,200,-,소형,북서,15,110
2022년 07월 30일 03시,36,34.3,123.3,1002,15,54,0,-,-,북,18,140
2022년 07월 30일 03시,48,35.9,123.5,1002,15,54,0,-,-,북,15,170
2022년 07월 30일 09시,0,31.2,126.3,1000,18,65,180,-,소형,서,28,null
2022년 07월 30일 09시,12,31.8,124.3,1000,18,65,180,-,소형,서북서,17,60
2022년 07월 30일 09시,24,33.3,123.4,1000,18,65,180,-,소형,북북서,15,110
2022년 07월 30일 09시,36,34.6,123.3,1002,15,54,0,-,-,북,12,140
2022년 07월 30일 09시,48,36.1,123.5,1002,13,47,0,-,-,북,14,170
2022년 07월 30일 15시,0,31.9,124.9,996,20,72,170,-,소형,북서,26,null
2022년 07월 30일 15시,12,32.8,123.6,996,20,72,170,-,소형,북서,13,60
2022년 07월 30일 15시,24,33.9,123.3,998,19,68,170,-,소형,북북서,11,110
2022년 07월 30일 15시,36,35.2,123.4,1002,15,54,0,-,-,북,12,140
2022년 07월 30일 15시,48,36.7,124,1002,13,47,0,-,-,북북동,15,170
2022년 07월 30일 21시,0,32.7,124.1,996,20,72,170,-,소형,북서,22,null
2022년 07월 30일 21시,12,33.5,123.4,996,20,72,170,-,소형,북서,9,60
2022년 07월 30일 21시,24,34.5,123.3,1000,15,54,0,-,-,북,10,110
2022년 07월 30일 21시,36,36,123.7,1002,13,47,0,-,-,북북동,14,140
2022년 07월 31일 03시,0,33.4,123.5,998,18,65,120,-,소형,북북서,16,null
2022년 07월 31일 03시,12,34.4,123.3,998,18,65,80,-,소형,북,9,60
2022년 07월 31일 03시,24,35.6,123.5,1000,15,54,0,-,-,북,11,110
2022년 07월 31일 03시,36,36.8,123.9,1002,13,47,0,-,-,북북동,11,140
2022년 07월 31일 09시,0,33.6,123.1,998,17,61,100,-,소형,서북서,7,null
2022년 07월 31일 09시,12,34.4,123.2,1000,14,50,0,-,-,북,8,60
2022년 07월 31일 09시,24,35.4,123.4,1002,13,47,0,-,-,북북동,9,110
2022년 07월 31일 15시,0,33.9,123.2,994,17,61,90,-,소형,북북동,12,null
2022년 07월 31일 15시,12,34.6,123.3,1000,14,50,0,-,-,북,7,60
2022년 07월 31일 15시,24,35.2,123.5,1002,13,47,0,-,-,북북동,6,110
2022년 07월 31일 21시,0,34.3,123.1,996,17,61,90,-,소형,북,7,null
2022년 07월 31일 21시,12,34.9,123.4,1000,13,47,0,-,-,북북동,6,60
