일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 07월 31일 12시,0,26.7,127.8,998,18,65,200,-,소형,북북서,61,null
2022년 07월 31일 12시,12,29.9,126.8,1000,17,61,180,-,소형,북북서,31,60
2022년 07월 31일 12시,24,32.1,126.2,1002,13,47,0,-,-,북북서,21,0
2022년 07월 31일 15시,0,27.6,127.6,998,18,65,200,-,소형,북,34,null
2022년 07월 31일 15시,12,30.3,126.7,1000,17,61,180,-,소형,북북서,26,60
2022년 07월 31일 15시,24,32.8,126.1,1002,13,47,0,-,-,북,23,0
2022년 07월 31일 21시,0,28.6,127.2,998,18,65,150,-,소형,북북서,19,null
2022년 07월 31일 21시,12,32.1,127,1000,13,47,0,-,-,북,32,0
2022년 08월 01일 03시,0,30.3,126.5,998,18,65,150,-,소형,북서,32,null
2022년 08월 01일 03시,6,32.3,126.5,1000,14,50,0,-,-,북,37,30
2022년 08월 01일 03시,12,34.2,126.4,1002,13,47,0,-,-,북,35,0
