일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 08월 12일 03시,0,29.6,136,1004,18,65,230,-,소형,북북동,11,null
2022년 08월 12일 03시,12,31.4,136.1,1002,18,65,230,-,소형,북,17,60
2022년 08월 12일 03시,24,33.1,136.8,1002,18,65,240,-,소형,북북동,17,110
2022년 08월 12일 03시,36,35.1,138.6,1000,18,65,250,-,소형,북동,23,140
2022년 08월 12일 03시,48,38,142.3,998,19,68,250,-,소형,북동,38,170
2022년 08월 12일 03시,72,44.5,150.3,996,20,72,0,-,-,북동,41,230
2022년 08월 12일 09시,0,30.3,136.2,1004,18,65,230,-,소형,북북동,15,null
2022년 08월 12일 09시,12,32.4,136.3,1002,18,65,240,-,소형,북,19,60
2022년 08월 12일 09시,24,34.1,137.6,1000,18,65,250,-,소형,북북동,19,110
2022년 08월 12일 09시,36,36.3,140.1,998,19,68,250,-,소형,북동,27,140
2022년 08월 12일 09시,48,39.2,144.4,998,19,68,250,-,소형,북동,42,170
2022년 08월 12일 09시,72,46.9,151.9,996,20,72,0,-,-,북북동,44,230
2022년 08월 12일 15시,0,30.8,136.4,1004,18,65,230,-,소형,북동,10,null
2022년 08월 12일 15시,12,33.3,136.8,1002,18,65,240,-,소형,북북동,22,60
2022년 08월 12일 15시,24,35.5,138.9,1000,18,65,250,-,소형,북동,26,110
2022년 08월 12일 15시,36,37.9,142.6,998,19,68,250,-,소형,북동,35,140
2022년 08월 12일 15시,48,40.8,146.8,998,19,68,250,-,소형,북동,40,170
2022년 08월 12일 15시,72,48.6,154.5,996,20,72,0,-,-,북북동,44,230
2022년 08월 12일 21시,0,31.8,136.7,1002,18,65,240,-,소형,북,26,null
2022년 08월 12일 21시,12,34.4,137.6,1000,18,65,250,-,소형,북북동,25,60
2022년 08월 12일 21시,24,36.7,140.6,998,19,68,250,-,소형,북동,31,110
2022년 08월 12일 21시,36,39,144.5,998,19,68,250,-,소형,북동,36,140
2022년 08월 12일 21시,48,42,148.7,996,20,72,0,-,-,북동,41,170
2022년 08월 13일 03시,0,32.9,136.6,1000,18,65,240,-,소형,북,11,null
2022년 08월 13일 03시,12,35,138.4,998,19,68,240,-,소형,북동,24,60
2022년 08월 13일 03시,24,37.5,142,998,19,68,250,-,소형,북동,36,110
2022년 08월 13일 03시,36,40,146.8,996,20,72,250,-,소형,북동,42,140
2022년 08월 13일 03시,48,44,150.5,996,20,72,0,-,-,북북동,45,170
2022년 08월 13일 09시,0,33.8,137.4,1000,18,65,240,-,소형,북동,27,null
2022년 08월 13일 09시,12,36.2,140,998,19,68,250,-,소형,북동,30,60
2022년 08월 13일 09시,24,38.9,144.3,996,20,72,250,-,소형,북동,40,110
2022년 08월 13일 09시,36,42.5,149,996,20,72,250,-,소형,북동,47,140
2022년 08월 13일 09시,48,47.3,151.8,996,20,72,0,-,-,북북동,48,170
2022년 08월 13일 15시,0,34.6,138.2,998,19,68,250,-,소형,북동,19,null
2022년 08월 13일 15시,12,37.5,142,998,19,68,250,-,소형,북동,39,60
2022년 08월 13일 15시,24,40.6,146.7,996,20,72,250,-,소형,북동,44,110
2022년 08월 13일 15시,36,45.5,150.8,996,20,72,0,-,-,북북동,53,140
2022년 08월 13일 21시,0,35.8,140.3,998,19,68,250,-,소형,북동,44,null
2022년 08월 13일 21시,12,39.2,144.5,996,20,72,250,-,소형,북동,44,60
2022년 08월 13일 21시,24,42.8,149.2,994,21,76,0,-,-,북동,47,110
2022년 08월 14일 03시,0,37.4,142.6,998,19,68,250,-,소형,북동,52,null
2022년 08월 14일 03시,12,40.8,147.3,996,20,72,250,-,소형,북동,46,60
2022년 08월 14일 03시,24,45.6,151.5,994,21,76,0,-,-,북북동,54,110
2022년 08월 14일 09시,0,39.1,144.3,998,19,68,250,-,소형,북북동,39,null
2022년 08월 14일 09시,12,42.5,149.1,994,21,76,0,-,-,북동,46,60
2022년 08월 14일 15시,0,41.1,146.8,998,19,68,200,-,소형,북동,46,null
2022년 08월 14일 15시,12,45.9,151,994,21,76,0,-,-,북북동,53,60
2022년 08월 14일 21시,0,43.1,149.8,996,20,72,0,-,-,북동,71,null
