일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2022년 08월 22일 12시,0,16.3,124.1,998,19,68,230,-,소형,서남서,11,null
2022년 08월 22일 12시,12,16.9,123.8,996,20,72,260,-,소형,북북서,6,60
2022년 08월 22일 12시,24,17.8,122.7,994,21,76,290,-,소형,북서,12,110
2022년 08월 22일 12시,36,18.9,120.9,992,23,83,290,-,소형,서북서,19,140
2022년 08월 22일 12시,48,19.8,118.8,990,24,86,340,-,중형,서북서,21,170
2022년 08월 22일 12시,72,22.4,114.8,990,24,86,290,-,소형,북서,21,230
2022년 08월 22일 12시,96,24.4,109,1002,15,54,0,-,-,서북서,26,280
2022년 08월 22일 15시,0,16.2,123.7,996,20,72,230,-,소형,서,15,null
2022년 08월 22일 15시,12,16.8,123.1,994,21,76,260,-,소형,북서,7,60
2022년 08월 22일 15시,24,18.1,122.3,992,23,83,280,-,소형,북북서,14,110
2022년 08월 22일 15시,36,19.1,120.3,985,27,97,320,중,중형,서북서,20,140
2022년 08월 22일 15시,48,20.1,118.4,985,27,97,340,중,중형,서북서,19,170
2022년 08월 22일 15시,72,22.8,113.7,990,24,86,280,-,소형,서북서,24,230
2022년 08월 22일 15시,96,24.8,108,1000,15,54,0,-,-,서북서,26,280
2022년 08월 22일 21시,0,16.2,123.3,994,21,76,250,-,소형,서북서,8,null
2022년 08월 22일 21시,12,17.5,122.3,990,24,86,270,-,소형,북서,15,60
2022년 08월 22일 21시,24,18.6,121.2,985,27,97,300,중,중형,북서,15,110
2022년 08월 22일 21시,36,19.8,118.8,985,27,97,330,중,중형,서북서,24,140
2022년 08월 22일 21시,48,21.1,116.3,985,27,97,330,중,중형,서북서,25,170
2022년 08월 22일 21시,72,23.1,110.4,994,18,65,150,-,소형,서북서,27,230
2022년 08월 22일 21시,96,23.6,104.7,1000,13,47,0,-,-,서,25,280
2022년 08월 23일 03시,0,16.4,123.1,992,23,83,250,-,소형,북서,10,null
2022년 08월 23일 03시,12,18.1,122.1,990,24,86,290,-,소형,북북서,18,60
2022년 08월 23일 03시,24,19.3,119.8,985,27,97,320,중,중형,서북서,23,110
2022년 08월 23일 03시,36,20.4,117.6,985,27,97,330,중,중형,서북서,22,140
2022년 08월 23일 03시,48,21.5,114.9,985,27,97,320,중,중형,서북서,25,170
2022년 08월 23일 03시,72,23.4,109.1,996,17,61,150,-,소형,서북서,26,230
2022년 08월 23일 03시,96,23.9,103.1,1000,12,43,0,-,-,서,26,280
2022년 08월 23일 09시,0,16.8,122.9,990,24,86,290,-,소형,북서,10,null
2022년 08월 23일 09시,12,18.7,121,985,27,97,310,중,중형,북서,24,60
2022년 08월 23일 09시,24,19.8,118.7,985,27,97,330,중,중형,서북서,23,110
2022년 08월 23일 09시,36,20.9,116.5,985,27,97,330,중,중형,서북서,22,140
2022년 08월 23일 09시,48,21.9,113.7,985,27,97,320,중,중형,서북서,26,170
2022년 08월 23일 09시,72,23.6,107.4,996,17,61,150,-,소형,서북서,28,230
2022년 08월 23일 09시,96,24.4,101.5,1002,12,43,0,-,-,서,25,280
2022년 08월 23일 15시,0,17.9,121.6,985,27,97,300,중,중형,서북서,32,null
2022년 08월 23일 15시,12,19.3,119.9,985,27,97,320,중,중형,북서,25,60
2022년 08월 23일 15시,24,20.4,117.6,980,29,104,330,중,중형,서북서,22,110
2022년 08월 23일 15시,36,21.4,115.3,985,27,97,320,중,중형,서북서,22,140
2022년 08월 23일 15시,48,22.4,112.3,990,24,86,280,-,소형,서북서,27,170
2022년 08월 23일 15시,72,23.9,105.8,1000,15,54,0,-,-,서북서,29,230
2022년 08월 23일 21시,0,18.4,120.3,985,27,97,310,중,중형,서북서,27,null
2022년 08월 23일 21시,12,19.4,117.9,980,29,104,330,중,중형,서북서,23,60
2022년 08월 23일 21시,24,20.7,115.4,980,29,104,330,중,중형,서북서,25,110
2022년 08월 23일 21시,36,21.9,112.7,985,27,97,310,중,중형,서북서,25,140
2022년 08월 23일 21시,48,23,109,992,23,83,280,-,소형,서북서,33,170
2022년 08월 23일 21시,72,23.8,102.5,1002,12,43,0,-,-,서,28,230
2022년 08월 24일 03시,0,19,118.9,985,27,97,310,중,중형,서,28,null
2022년 08월 24일 03시,12,20.1,116.7,985,27,97,310,중,중형,서북서,22,60
2022년 08월 24일 03시,24,21.1,113.9,980,29,104,320,중,중형,서북서,26,110
2022년 08월 24일 03시,36,22,111.1,985,27,97,310,중,중형,서북서,26,140
2022년 08월 24일 03시,48,22.8,107.4,994,21,76,280,-,소형,서북서,32,170
2022년 08월 24일 03시,72,23.9,101.5,1004,12,43,0,-,-,서북서,26,230
2022년 08월 24일 09시,0,19.2,117.2,980,29,104,310,중,중형,서북서,25,null
2022년 08월 24일 09시,12,20.5,115.2,975,32,115,320,중,중형,북서,21,60
2022년 08월 24일 09시,24,21.5,112.3,975,32,115,320,중,중형,서북서,27,110
2022년 08월 24일 09시,36,22.3,109.1,985,27,97,300,중,중형,서북서,29,140
2022년 08월 24일 09시,48,23,104.4,998,15,54,0,-,-,서,40,170
